QUANTITY,DESCRIPTION,PART
1,Wurth 629105150521 Micro USB-B Connector,629105150521
1,34-pin 2.54mm Shrouded Through-Hole Vertical Connector,30334-6002HB
1,14-pin 2.54mm Shrouded Through-Hole Right-Angle Connector,SBH11-PBPC-D07-RA-BK
1,Right-Angle Through-Hole DPDT Switch,EG2219
1,3.3v 0603 LED,150060GS75000
1,10k 0.1w 0603 SMT Resistor,CRCW060310K0JNEBC
1,3.16k 0.1w 0603 SMT Resistor,CRCW06033K16FKEA
1,1.78k 0.1w 0603 SMT Resistor,CR0603-FX-1781ELF
1,2.2uF 6.3V 0603 SMT Capacitor,CL10A225KQ8NNNC
1,AMP 4-pin Right-Angle Male Connector,171826-4
